nome,codigo,preço
2.1A-V8 CARREGADOR USB DE SAQUINHO,CAR-8112,"R$ 8,50"
4.8A CARREGADOR IPHONE,CAR-3173A,"R$ 11,50"
4.8A CARREGADOR V8 CABO SOLTO,CAR-3173S,"R$ 11,00"
ADAPTADOR,BTMR-6315,"R$ 15,00"
ADAPTADOR,TRA-30078,"R$ 12,00"
ADAPTADOR 3USB CAMERA LEITORA,ZJT-30100,"R$ 26,00"
ADAPTADOR ALTOMEX,AL-A155,"R$ 5,00"
ADAPTADOR AV2HDMI,ZJT-50004,"R$ 22,00"
ADAPTADOR AV2VGA,ZJT-50006,"R$ 23,00"
ADAPTADOR BLUETOOTH,KAP-T33,"R$ 4,00"
ADAPTADOR DUPLO IPH,ZJT-30060,"R$ 14,00"
ADAPTADOR HDMI2AV,ZJT-50003,"R$ 15,00"
ADAPTADOR HDMI2HDMI,ZJT-50007,"R$ 30,00"
ADAPTADOR HDMI2VGA,ZJT-50001,"R$ 15,00"
ADAPTADOR IPH,ZJT-30065,"R$ 10,00"
ADAPTADOR P2 V23,KAP-P2-V23,"R$ 4,00"
ADAPTADOR P2/Y ITEM NO,P2-1,"R$ 3,00"
ADAPTADOR PORTA RELÂMPAGO USB,ZJT-30103,"R$ 26,00"
ADAPTADOR VGA2AV,ZJT-50005,"R$ 22,00"
ADAPTADOR VGA2HDMI,ZJT-50002,"R$ 15,00"
ADPTADOR HDMI2AV,ZJT-50008,"R$ 35,00"
AIRPODS PRÓ 6,FON-10025,"R$ 50,00"
AMPLIFICADOR DE VIDEO,MAG-8757,"R$ 16,00"
AMPLIFICADOR DE VIDEO,MAG-8758,"R$ 18,00"
ANTENA DIGITAL DE TV INOVA,CBO-7028,"R$ 18,00"
ANTENA WIFI ALTOMEX,AL-C818,"R$ 9,00"
ANTENA WIFI KAPBOM 802.11N,KAP-T8188,"R$ 9,00"
APARADOR DE BOLAS DE PELO,KV-352,"R$ 25,00"
APARADOR DE PELOS,U-771,"R$ 24,00"
APARADOR DE PELOS ALTOMEX,TC-007,"R$ 13,00"
APARADOR DE PELOS DE NARIZ,LE-774,"R$ 10,00"
APARELHO DE EVAPORACAO,LE-2122,"R$ 25,00"
ARMA DE MASSAGEM,AK-735,"R$ 80,00"
BALANÇA DE BANHEIRO,KV-143,"R$ 55,00"
BALANÇA DE COZINHA,KV-145,"R$ 30,00"
BALANÇA DE COZINHA,KV-144,"R$ 23,00"
BALANÇA DIGITAL ALTOMEX SF-005,BALANÇA SF-005,"R$ 16,00"
BALANÇA DIGITAL ALTOMEX,SF-008,"R$ 17,00"
BALANÇA DIGITAL ALTOMEX,SF-002,"R$ 22,00"
BALANÇA ELÉTRICA COMPACTA,KV-146,"R$ 35,00"
BARBEADOR INOVA,KV-129,"R$ 30,00"
BARBEADOR INOVA,KV-131,"R$ 22,00"
BARBEADOR INOVA,KV-128,"R$ 35,00"
BARBEADOR INOVA,KV-135,"R$ 28,00"
BARBEADOR INOVA,BAR-N-99,"R$ 65,00"
BARBEADOR INOVA,KV-133,"R$ 20,00"
BARBEADOR INOVA,KV-132,"R$ 35,00"
BARBEADOR INOVA ,U-1233,"R$ 50,00"
BARBEADOR INOVA ,U-1271,"R$ 55,00"
BASIKE PRIME TPC 1M,CBO-7565,"R$ 5,50"
BASTÃO DE SELFIE,SEL-8548,"R$ 14,00"
BATERIA 9V,CELL-11054,"R$ 5,00"
BATERIA LR1130 CARTELA C/10,CELL-11067,"R$ 5,00"
BOMBA D'AGUA AUTOMATICA,KV-299,"R$ 16,00"
C CARREGADOR 2USB 3.1A INOVA,CAR-3175,"R$ 12,00"
C-020 SUPORTE DE CELULAR PARA MOTO ALTOMEX,C-020,"R$ 20,00"
C-137 SUPORTE DE COMPUTADOR,C-137,"R$ 20,00"
CABO,CBO-30007,"R$ 6,00"
CABO (MAÇÃ),CBO-7585,"R$ 8,00"
CABO 3.4A 1M TPC,CBO-6046,"R$ 9,00"
CABO 3.4A 1M V8,CBO-6045,"R$ 9,00"
CABO 3.4A IPH 1M,CBO-6085,"R$ 5,00"
CABO 3.4A TPC 1M,CBO-6086,"R$ 5,00"
CABO 3.4A V8 1M,CBO-6087,"R$ 4,50"
CABO 3.4A V8 2M,BA-CBO7510,"R$ 5,50"
CABO ADAPTADOR ALTOMEX 3 EM 1,AL-357,"R$ 16,00"
CABO BASIKE,BA-CBO9965,"R$ 7,00"
CABO BASIKE 1M IPH,BA-CBO9978,"R$ 6,00"
CABO BASIKE 1M T-C,BA-CBO9959,"R$ 7,00"
CABO CONVERSOR HD,KAP-V079,"R$ 11,00"
CABO DE CHUPETA AUTOMOTIVO 500AMP,LE-9014,"R$ 25,00"
CABO DE CHUPETA AUTOMOTIVO 800AMP,LE-9015,"R$ 35,00"
CABO DE FIBRA ÓTICA,CBO-7220,"R$ 6,00"
CABO DE FORÇA COM 2 PINOS,CABO DE FORÇA COM 2 PINOS,"R$ 4,00"
CABO DE IMPRESSORA,AL-C076,"R$ 5,00"
CABO DE METAL MAGNETICO 3 EM 1,CBO-5866,"R$ 13,00"
CABO HDMI 5M,CBO-7215,"R$ 18,00"
CABO IPH 1M,CBO-7566,"R$ 5,50"
CABO IPH 1M,CBO-5714,"R$ 4,20"
CABO IPH 2M,CBO-9862,"R$ 8,00"
CABO IPH 2M BASIKE PRIME,CBO-7569,"R$ 6,50"
CABO KAPBOM BLISTER VERDE V8 (C25),KAP-318-V8,"R$ 2,50"
CABO KAPBOM IPH,KA-327,"R$ 4,60"
CABO KAPBOM T-C 4.8,KA-326-TY,"R$ 5,20"
